ACC,Added column,F1 macro,F1 micro,F1 weighted,Feature Selection,Features,Features with FS,Hyperparameter estimation,Model,Model Params,Outliers,Outliers records,Recall macro,Recall micro,Recall weighted,Records
0.7025,yes,0.6867194939796675,0.7025,0.7135295686361125,cor,21.0,62.0,grid search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
                   n_estimators=70, random_state=None)",z_score,1600.0,0.7004991723347497,0.7025,0.7025,1999.0
0.8025,yes,0.8013293250807034,0.8025,0.8009327851783539,cor,21.0,62.0,nothing,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",z_score,1600.0,0.8037139607704125,0.8025,0.8025,1999.0
0.745,yes,0.745411620488972,0.745,0.7423195841218737,cor,21.0,62.0,randomized search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=70,
                       max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",z_score,1600.0,0.7503322440087146,0.745,0.745,1999.0
0.67,yes,0.6656950712801777,0.67,0.6695211870477829,cor,21.0,62.0,grid search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=70,
                       max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=35,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",z_score,1600.0,0.6676974067599067,0.67,0.67,1999.0
0.54,yes,0.5365194742574024,0.54,0.5385568078342367,cor,21.0,62.0,nothing,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",z_score,1600.0,0.5508916250555117,0.54,0.54,1999.0
0.7375,yes,0.7313656209841628,0.7375,0.7389470950567039,cor,21.0,62.0,randomized search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=72, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",z_score,1600.0,0.7309439521101505,0.7375,0.7375,1999.0
0.7325,yes,0.7282364299631204,0.7325,0.7323893204700036,cor,21.0,62.0,grid search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=46, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",z_score,1600.0,0.7309853517724253,0.7325,0.7325,1999.0
0.91,yes,0.9089601711097111,0.91,0.9098774124880475,cor,21.0,62.0,nothing,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform')",z_score,1600.0,0.9094864276931808,0.91,0.91,1999.0
0.9225,yes,0.92146093927182,0.9225,0.9224121831440485,cor,21.0,62.0,randomized search,Nearest Neighbors,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=5, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=7, p=2,
                     weights='uniform')",z_score,1600.0,0.9223974946836788,0.9225,0.9225,1999.0
0.9225,yes,0.92146093927182,0.9225,0.9224121831440485,cor,21.0,62.0,grid search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=1, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=7, p=2,
                     weights='uniform')",z_score,1600.0,0.9223974946836788,0.9225,0.9225,1999.0
0.845,yes,0.8406471705481835,0.845,0.8456746696257604,cor,21.0,62.0,nothing,Logistic Regression,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=110,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",z_score,1600.0,0.8406629423022948,0.845,0.845,1999.0
0.625,yes,0.6143729070134437,0.625,0.6299531279488687,cor,21.0,62.0,randomized search,Logistic Regression,"LogisticRegression(C=4.094915062380427e-05, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=1,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",z_score,1600.0,0.615657196969697,0.625,0.625,1999.0
0.625,yes,0.6143729070134437,0.625,0.6299531279488687,cor,21.0,62.0,grid search,Logistic Regression,"LogisticRegression(C=5.1794746792312125e-05, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=1,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",z_score,1600.0,0.615657196969697,0.625,0.625,1999.0
0.6825,yes,0.6565641557289182,0.6825,0.7025052925623311,cor,21.0,62.0,nothing,Neural Net,"MLPClassifier(activation='relu', alpha=1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(100,), learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",z_score,1600.0,0.6674329151950635,0.6825,0.6825,1999.0
0.6775,yes,0.6030084120760069,0.6775,0.7400809050101961,cor,21.0,62.0,randomized search,Neural Net,"MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=13, learning_rate='constant',
              learning_rate_init=0.001, max_iter=2500, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=3, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",z_score,1600.0,0.6760635514215311,0.6775,0.6775,1999.0
0.7675,yes,0.7613199166721787,0.7675,0.7692562906601859,cor,21.0,62.0,grid search,Neural Net,"MLPClassifier(activation='relu', alpha=0.1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=12, learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=0, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",z_score,1600.0,0.7633681690697205,0.7675,0.7675,1999.0
0.53,yes,0.5106296354618701,0.53,0.5436191509444257,cor,21.0,62.0,nothing,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=5, max_features=1, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=10,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",z_score,1600.0,0.5147855727640425,0.53,0.53,1999.0
0.855,yes,0.8532870415563943,0.855,0.8547173743076345,cor,21.0,62.0,randomized search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=22, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=56,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",z_score,1600.0,0.8543430389469455,0.855,0.855,1999.0
0.835,yes,0.8344666069724985,0.835,0.8332954769765454,cor,21.0,62.0,grid search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=20, max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=38,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",z_score,1600.0,0.8370383233124441,0.835,0.835,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,cor,21.0,62.0,nothing,SVM Sigmoid,"SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",z_score,1600.0,0.05875,0.235,0.235,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,cor,21.0,62.0,randomized search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",z_score,1600.0,0.05875,0.235,0.235,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,cor,21.0,62.0,grid search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",z_score,1600.0,0.05875,0.235,0.235,1999.0
0.975,yes,0.9748024269059921,0.975,0.9750003349964811,cor,21.0,62.0,nothing,SVM RBF,"SVC(C=0.025, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",z_score,1600.0,0.9748688758550921,0.975,0.975,1999.0
0.4725,yes,0.47412018389121485,0.4725,0.4705431184321613,cor,21.0,62.0,randomized search,SVM RBF,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=4, gamma=0.00017433288221999874,
    kernel='rbf', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",z_score,1600.0,0.7964966590440974,0.4725,0.4725,1999.0
0.7175,yes,0.7304620089794962,0.7175,0.7012325217906344,cor,21.0,62.0,grid search,SVM RBF,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=0.0001, kernel='rbf',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",z_score,1600.0,0.8065316676160483,0.7175,0.7175,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,cor,21.0,62.0,nothing,QDA,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='rbf', max_iter=-1,
    probability=False, random_state=None, shrinking=True, tol=0.001,
    verbose=False)",z_score,1600.0,0.05875,0.235,0.235,1999.0
0.52,yes,0.3420895974716152,0.52,0.6842077691550043,cor,21.0,62.0,nothing,Naive Bayes,"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
                              store_covariance=False, tol=0.0001)",z_score,1600.0,0.2599834962866645,0.52,0.52,1999.0
0.76,yes,0.7468798370388463,0.76,0.7685508515679096,cor,21.0,62.0,nothing,Linear Discriminant Analysis,"GaussianNB(priors=None, var_smoothing=1e-09)",z_score,1600.0,0.7493550893550893,0.76,0.76,1999.0
0.7575,yes,0.7575316120092495,0.7575,0.755356923252007,cor,21.0,62.0,nothing,Gaussian Process,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
                           solver='svd', store_covariance=False, tol=0.0001)",z_score,1600.0,0.7605122246918569,0.7575,0.7575,1999.0
0.255,yes,0.10159362549800798,0.255,0.40637450199203184,cor,21.0,62.0,nothing,SVM Linear,"GaussianProcessClassifier(copy_X_train=True, kernel=1**2 * RBF(length_scale=1),
                          max_iter_predict=100, multi_class='one_vs_rest',
                          n_jobs=None, n_restarts_optimizer=0,
                          optimizer='fmin_l_bfgs_b', random_state=None,
                          warm_start=False)",z_score,1600.0,0.06375,0.255,0.255,1999.0
0.6275,yes,0.6150270786707517,0.6275,0.6417490623332737,vif,21.0,62.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None)",z_score,1600.0,0.7448457942353613,0.6275,0.6275,1999.0
0.71,yes,0.697360401325513,0.7100000000000001,0.718553466192151,vif,21.0,62.0,randomized search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
                   n_estimators=137, random_state=None)",z_score,1600.0,0.7048075872419092,0.71,0.71,1999.0
0.7075,yes,0.6918258300743221,0.7075,0.7185964735350965,vif,21.0,62.0,grid search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
                   n_estimators=70, random_state=None)",z_score,1600.0,0.7087797412140632,0.7075,0.7075,1999.0
0.7975,yes,0.7951437971837592,0.7975,0.7967451813440539,vif,21.0,62.0,nothing,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",z_score,1600.0,0.7958022125028037,0.7975,0.7975,1999.0
0.7025,yes,0.7010407617665234,0.7025,0.7005911849030003,vif,21.0,62.0,randomized search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=9,
                       max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=40,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",z_score,1600.0,0.7053374492890622,0.7025,0.7025,1999.0
0.71,yes,0.7049999863092843,0.7100000000000001,0.7102460632346781,vif,21.0,62.0,grid search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=70,
                       max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",z_score,1600.0,0.705577502906132,0.71,0.71,1999.0
0.565,yes,0.5623440716166113,0.565,0.56266502959381,vif,21.0,62.0,nothing,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",z_score,1600.0,0.5742393518353774,0.565,0.565,1999.0
0.775,yes,0.7688877289696106,0.775,0.7774809600423545,vif,21.0,62.0,randomized search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=70, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",z_score,1600.0,0.7691806914670635,0.775,0.775,1999.0
0.7575,yes,0.7529402942543906,0.7575,0.7585912033634785,vif,21.0,62.0,grid search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=42, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",z_score,1600.0,0.7562663903155277,0.7575,0.7575,1999.0
0.745,yes,0.7423791036867451,0.745,0.7443904222605565,vif,21.0,62.0,nothing,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform')",z_score,1600.0,0.7430445924961826,0.745,0.745,1999.0
0.75,yes,0.7499734914208598,0.75,0.7468054270291112,vif,21.0,62.0,randomized search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=5, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=17, p=2,
                     weights='uniform')",z_score,1600.0,0.7559226487797917,0.75,0.75,1999.0
0.7425,yes,0.7406993725171542,0.7425,0.7410487292343808,vif,21.0,62.0,grid search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=1, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=7, p=2,
                     weights='uniform')",z_score,1600.0,0.742903040022159,0.7425,0.7425,1999.0
0.8325,yes,0.8284746341126259,0.8325,0.8329881594180361,vif,21.0,62.0,nothing,Logistic Regression,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=110,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",z_score,1600.0,0.8286617337324023,0.8325,0.8325,1999.0
0.5225,yes,0.4809906270200388,0.5225,0.5551076384399914,vif,21.0,62.0,randomized search,Logistic Regression,"LogisticRegression(C=0.029470517025518096, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=0,
                   max_iter=110, multi_class='auto', n_jobs=None,
                   penalty='elasticnet', random_state=None, solver='saga',
                   tol=0.0001, verbose=0, warm_start=False)",z_score,1600.0,0.5016003863879566,0.5225,0.5225,1999.0
0.5225,yes,0.4809906270200388,0.5225,0.5551076384399914,vif,21.0,62.0,grid search,Logistic Regression,"LogisticRegression(C=19306.977288832535, class_weight=None, dual=False,
                   fit_intercept=True, intercept_scaling=1, l1_ratio=0,
                   max_iter=110, multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='saga', tol=0.0001, verbose=0,
                   warm_start=False)",z_score,1600.0,0.5016003863879566,0.5225,0.5225,1999.0
0.6575,yes,0.6266090657067349,0.6575,0.6831701179912725,vif,21.0,62.0,nothing,Neural Net,"MLPClassifier(activation='relu', alpha=1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(100,), learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",z_score,1600.0,0.6489650535496879,0.6575,0.6575,1999.0
0.76,yes,0.7562918370313478,0.76,0.7603978957454259,vif,21.0,62.0,randomized search,Neural Net,"MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=10, learning_rate='constant',
              learning_rate_init=0.001, max_iter=1800, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=9, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",z_score,1600.0,0.7638967374924653,0.76,0.76,1999.0
0.7225,yes,0.7266409755033616,0.7225,0.7140584617257463,vif,21.0,62.0,grid search,Neural Net,"MLPClassifier(activation='relu', alpha=0.1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=10, learning_rate='constant',
              learning_rate_init=0.001, max_iter=1000, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=3, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False)",z_score,1600.0,0.7502724692254368,0.7225,0.7225,1999.0
0.6075,yes,0.5980358095647734,0.6075,0.6131107870385273,vif,21.0,62.0,nothing,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=5, max_features=1, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=10,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",z_score,1600.0,0.5976447361706652,0.6075,0.6075,1999.0
0.8725,yes,0.8706239211624768,0.8725,0.8723804789253994,vif,21.0,62.0,randomized search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=56, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=41,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",z_score,1600.0,0.8710686647448159,0.8725,0.8725,1999.0
0.835,yes,0.8335863330200011,0.835,0.8342385262048501,vif,21.0,62.0,grid search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=56, max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=44,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)",z_score,1600.0,0.8348752724569908,0.835,0.835,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,vif,21.0,62.0,nothing,SVM Sigmoid,"SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",z_score,1600.0,0.05875,0.235,0.235,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,vif,21.0,62.0,randomized search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",z_score,1600.0,0.05875,0.235,0.235,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,vif,21.0,62.0,grid search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",z_score,1600.0,0.05875,0.235,0.235,1999.0
0.875,yes,0.8730439814814814,0.875,0.8750275462962963,vif,21.0,62.0,nothing,SVM RBF,"SVC(C=0.025, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='linear', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",z_score,1600.0,0.873712154107291,0.875,0.875,1999.0
0.7,yes,0.6977755828594072,0.7,0.6987115168988087,vif,21.0,62.0,randomized search,SVM RBF,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=2, gamma=0.00017433288221999874,
    kernel='rbf', max_iter=-1, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",z_score,1600.0,0.6990085119072637,0.7,0.7,1999.0
0.7425,yes,0.741924903680085,0.7425,0.7399944366945662,vif,21.0,62.0,grid search,SVM RBF,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=1, gamma=0.0001, kernel='rbf',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)",z_score,1600.0,0.7453806168809213,0.7425,0.7425,1999.0
0.235,yes,0.09514170040485831,0.235,0.38056680161943324,vif,21.0,62.0,nothing,QDA,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma=2, kernel='rbf', max_iter=-1,
    probability=False, random_state=None, shrinking=True, tol=0.001,
    verbose=False)",z_score,1600.0,0.05875,0.235,0.235,1999.0
0.53,yes,0.36523744286193327,0.53,0.6817590766429585,vif,21.0,62.0,nothing,Naive Bayes,"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
                              store_covariance=False, tol=0.0001)",z_score,1600.0,0.6799358974358974,0.53,0.53,1999.0
0.7225,yes,0.6862420004238186,0.7225,0.7518880016952746,vif,21.0,62.0,nothing,Linear Discriminant Analysis,"GaussianNB(priors=None, var_smoothing=1e-09)",z_score,1600.0,0.719778976536157,0.7225,0.7225,1999.0
0.755,yes,0.75495756718529,0.755,0.7528428571428571,vif,21.0,62.0,nothing,Gaussian Process,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
                           solver='svd', store_covariance=False, tol=0.0001)",z_score,1600.0,0.7579435620402007,0.755,0.755,1999.0
0.255,yes,0.10159362549800798,0.255,0.40637450199203184,vif,21.0,62.0,nothing,SVM Linear,"GaussianProcessClassifier(copy_X_train=True, kernel=1**2 * RBF(length_scale=1),
                          max_iter_predict=100, multi_class='one_vs_rest',
                          n_jobs=None, n_restarts_optimizer=0,
                          optimizer='fmin_l_bfgs_b', random_state=None,
                          warm_start=False)",z_score,1600.0,0.06375,0.255,0.255,1999.0
0.745,no,0.7446228048399108,0.745,0.7470529901248021,cor,21.0,21.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None)",iqr,1213.0,0.7654203094791063,0.745,0.745,1999.0
0.755,no,0.7520387348952765,0.755,0.7570441459996516,cor,21.0,21.0,randomized search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.1,
                   n_estimators=74, random_state=None)",iqr,1213.0,0.7509591361724239,0.755,0.755,1999.0
0.7575,no,0.7510702718499441,0.7575,0.7626520043514852,cor,21.0,21.0,grid search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.1,
                   n_estimators=40, random_state=None)",iqr,1213.0,0.7535071602055965,0.7575,0.7575,1999.0
0.815,no,0.8152083546267715,0.815,0.8137931858868507,cor,21.0,21.0,nothing,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,1213.0,0.8186293324538053,0.815,0.815,1999.0
